ID,Name,Designator,Footprint,Quantity
1,47uF,"C1,C2",CAP-TH_BD5.0-P2.00-D0.5-FD,2
2,1uF,C3,CAP-TH_BD5.0-P2.00-D0.5-FD,1
3,DC3-2.54-10PAS,CN1,CONN-TH_10P-P2.54_DC3-2.54-10PAS,1
4,100kÎ©,"CV,GAIN",RES-ADJ-TH_RK097111080J,2
5,1N5819,"D1,D2",DO41-7.6,2
6,IN,J1,PJM323 TAYDA A-2557,1
7,CV,J2,PJM323 TAYDA A-2557,1
8,OUT,J3,PJM323 TAYDA A-2557,1
9,100k,LEVEL,TRIM_POT_PTH,1
10,BC547,"Q1,Q2,Q3",ONSC-TO-92-3-29-11_AM_BL,3
11,10,"R1,R2",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
12,220k,"R3,R9,R10",RES-TH_BD2.4-L6.3-P10.30-D0.6,3
13,1k,"R4,R21",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
14,10k,"R5,R6,R7,R8,R20",RES-TH_BD2.4-L6.3-P10.30-D0.6,5
15,150k,"R11,R12",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
16,91k,R13,RES-TH_BD2.4-L6.3-P10.30-D0.6,1
17,22k,"R14,R18,R19",RES-TH_BD2.4-L6.3-P10.30-D0.6,3
18,100k,R15,RES-TH_BD2.4-L6.3-P10.30-D0.6,1
19,47k,"R16,R17",RES-TH_BD2.4-L6.3-P10.30-D0.6,2
20,TL074,U1,DIP14,1